kms_driven,owner,age,power,brand,actual_price,predicted_price
20058.0,1,4.0,150.0,7.0,51000.0,40841.706666666665
2564.0,1,2.0,100.0,7.0,39000.0,44557.33333333334
19334.0,1,4.0,150.0,8.0,54000.0,58470.68
25036.0,1,6.0,125.0,5.0,26500.0,34847.0
24780.0,1,14.0,150.0,7.0,13000.0,18630.4
57000.0,1,16.0,223.0,6.0,18000.0,20054.0
17100.0,2,8.0,100.0,7.0,25000.0,21948.92
23060.0,1,4.0,110.0,5.0,32000.0,38501.0
30040.0,1,4.0,150.0,8.0,65000.0,55943.33333333333
31769.0,1,5.0,150.0,7.0,60000.0,41616.75
22000.0,1,6.0,160.0,5.0,51000.0,51239.0
19829.0,1,4.0,410.0,2.0,105000.0,126213.41666666666
48000.0,1,7.0,220.0,7.0,39000.0,46699.66666666666
14878.0,1,3.0,350.0,2.0,135000.0,116980.0
6600.0,1,18.0,350.0,2.0,130000.0,77949.26
20863.0,1,10.0,100.0,6.0,20000.0,24420.0
46589.0,1,11.0,135.0,7.0,16000.0,19373.65
13000.0,2,5.0,300.0,9.0,220000.0,195904.85
5233.0,1,5.0,150.0,7.0,48000.0,45178.33333333333
3000.0,1,2.0,200.0,6.0,76000.0,96432.0
58000.0,1,8.0,150.0,5.0,39700.0,41242.79
15264.0,1,4.0,220.0,7.0,61500.0,73961.0
14000.0,1,5.0,410.0,2.0,146000.0,113915.0
28673.0,1,4.0,110.0,1.0,40000.0,34748.0
34716.0,1,7.0,125.0,7.0,24000.0,27083.85714285714
2164.0,1,4.0,220.0,7.0,65000.0,83931.0
7000.0,1,2.0,200.0,10.0,152200.0,177970.0
8800.0,3,4.0,200.0,1.0,65000.0,80450.0
12000.0,1,5.0,220.0,7.0,55000.0,68003.47238095239
25000.0,1,12.0,125.0,6.0,18000.0,19210.183333333334
28366.0,1,5.0,150.0,5.0,75000.0,80030.84666666666
12015.0,1,7.0,100.0,6.0,24000.0,29738.666666666664
30124.0,1,11.0,125.0,5.0,17000.0,21044.5
11217.0,1,9.0,150.0,4.0,60000.0,25796.0
24065.0,1,6.0,150.0,6.0,51100.0,38982.5
34500.0,1,8.0,100.0,7.0,25000.0,25661.33
25000.0,1,3.0,400.0,7.0,130000.0,131550.0
55686.0,2,9.0,220.0,7.0,26000.0,35081.92
20094.0,1,6.0,220.0,7.0,64000.0,67769.0
21651.0,1,9.0,500.0,2.0,115000.0,102540.8
35000.0,1,9.0,200.0,7.0,38000.0,39473.0
77600.0,1,9.0,200.0,7.0,35000.0,37551.0
40000.0,1,9.0,350.0,2.0,89600.0,74148.73
8000.0,1,5.0,110.0,6.0,40000.0,44123.97
9700.0,1,7.0,150.0,5.0,78000.0,49545.0
10000.0,1,3.0,100.0,6.0,48800.0,44600.96666666666
7390.0,1,6.0,250.0,14.0,192000.0,191430.0
6240.0,1,5.0,200.0,10.0,130000.0,99791.0
15000.0,1,5.0,100.0,6.0,25000.0,35962.357142857145
24000.0,1,4.0,150.0,4.0,51000.0,59441.58333333333
52904.0,2,14.0,350.0,2.0,48000.0,65262.3
9772.0,1,3.0,200.0,1.0,93000.0,71879.43
37000.0,1,13.0,100.0,6.0,14200.0,16365.633333333335
6900.0,1,3.0,150.0,4.0,115000.0,82921.83333333334
21000.0,1,7.0,110.0,5.0,30000.0,27530.5
55000.0,1,13.0,100.0,7.0,16000.0,16020.0
15099.0,1,9.0,100.0,6.0,26000.0,22358.0
3762.0,1,10.0,100.0,6.0,25000.0,20675.0
7000.0,1,10.0,110.0,1.0,29000.0,15410.0
285.0,1,5.0,600.0,4.0,500000.0,629685.7
21249.0,1,3.0,110.0,1.0,38000.0,35401.0
26500.0,1,9.0,250.0,5.0,68100.0,74649.0
19000.0,1,8.0,100.0,6.0,29500.0,26463.98
500.0,1,39.0,350.0,2.0,115000.0,117641.79
15000.0,1,7.0,250.0,5.0,85000.0,98499.45238095238
22000.0,1,7.0,150.0,5.0,38000.0,58371.0
